"nome_uf","nome_mun","cnes","tipo_cnes","vinc_sus","n_cnes","tipopremat_espontaneo","tipopremat_eletivo","consprenat_menor_que_6_consultas","indice_de_gini_2010_municipio","idhm_2010_municipio","cluster"
"SAO PAULO","JOSE BONIFACIO","2080095","Urbano","1",32,0.09375,0.09375,0.15625,0.45,0.777,"1"
"SAO PAULO","JUNDIAI","2078066","Urbano","0",2361,0.0609911054637865,0.0550614146548073,0.0584498094027954,0.53,0.822,"1"
"SAO PAULO","JUNDIAI","2078759","Urbano","0",1603,0.0399251403618216,0.0966936993137866,0.0536494073611978,0.53,0.822,"1"
"SAO PAULO","JUNDIAI","2078767","Urbano","0",1648,0.0491504854368932,0.0691747572815534,0.0497572815533981,0.53,0.822,"1"
"SAO PAULO","JUNDIAI","3012212","Urbano","1",3658,0.0669764898851832,0.0975943138326955,0.0956806998359759,0.53,0.822,"4"
"SAO PAULO","LARANJAL PAULISTA","2079976","Urbano","1",582,0.0343642611683849,0.0326460481099656,0.0618556701030928,0.41,0.729,"2"
"SAO PAULO","LEME","2078074","Urbano","1",974,0.0328542094455852,0.0728952772073922,0.053388090349076,0.48,0.744,"2"
"SAO PAULO","LEME","2082462","Urbano","0",118,0.0338983050847458,0.0169491525423729,0.0508474576271186,0.48,0.744,"2"
"SAO PAULO","LENCOIS PAULISTA","2077582","Urbano","1",765,0.0261437908496732,0.0496732026143791,0.065359477124183,0.43,0.764,"2"
"SAO PAULO","LIMEIRA","2024632","Urbano","0",689,0.04644412191582,0.0537010159651669,0.0304789550072569,0.48,0.775,"2"
"SAO PAULO","LIMEIRA","2081458","Urbano","1",2498,0.0488390712570056,0.0372297838270617,0.181745396317054,0.48,0.775,"2"
"SAO PAULO","LIMEIRA","2087103","Urbano","1",119,0.0420168067226891,0.0504201680672269,0.218487394957983,0.48,0.775,"2"
"SAO PAULO","LIMEIRA","2825309","Urbano","0",841,0.0665873959571938,0.0249702734839477,0.0404280618311534,0.48,0.775,"2"
"SAO PAULO","LINS","2758245","Urbano","1",1135,0.0907488986784141,0.0898678414096916,0.162995594713656,0.45,0.786,"1"
"SAO PAULO","LINS","3060616","Urbano","0",234,0.0299145299145299,0.0384615384615385,0.0598290598290598,0.45,0.786,"2"
"SAO PAULO","LINS","3518949","Urbano","0",243,0.0534979423868313,0.119341563786008,0.0205761316872428,0.45,0.786,"1"
"SAO PAULO","LORENA","2087111","Urbano","1",1826,0.0509309967141292,0.0892661555312158,0.13526834611172,0.52,0.766,"1"
"SAO PAULO","LORENA","3557081","Urbano","0",428,0.0397196261682243,0.0514018691588785,0.0747663551401869,0.52,0.766,"2"
"SAO PAULO","LOUVEIRA","2079917","Urbano","1",415,0.0337349397590361,0.0072289156626506,0.0289156626506024,0.5,0.777,"2"
"SAO PAULO","MACATUBA","2082942","Urbano","1",138,0.0072463768115942,0.0942028985507246,0.0507246376811594,0.55,0.77,"1"
"SAO PAULO","MARACAI","2079437","Inter.","1",86,0.0232558139534884,0.0465116279069767,0.0348837209302326,0.42,0.771,"2"
"SAO PAULO","MARILIA","2086050","Urbano","1",1219,0.00246103363412633,0.00902378999179656,0.126333059885152,0.5,0.798,"2"
"SAO PAULO","MARILIA","5860490","Urbano","1",1492,0.056970509383378,0.0985254691689008,0.0482573726541555,0.5,0.798,"1"
"SAO PAULO","MATAO","2090961","Urbano","1",1140,0.0552631578947368,0.119298245614035,0.0771929824561404,0.52,0.773,"1"
"SAO PAULO","MAUA","2082349","Urbano","1",2423,0.0730499380932728,0.0833677259595543,0.17044985555097,0.44,0.766,"1"
"SAO PAULO","MAUA","2690764","Urbano","0",253,0.0237154150197628,0.138339920948617,0.0474308300395257,0.44,0.766,"1"
"SAO PAULO","MAUA","2751747","Urbano","1",418,0.129186602870813,0.0191387559808612,0.157894736842105,0.44,0.766,"2"
"SAO PAULO","MIGUELOPOLIS","2088525","Urbano","1",214,0.0373831775700935,0.014018691588785,0.228971962616822,0.46,0.741,"2"
"SAO PAULO","MIRANDOPOLIS","2083019","Urbano","1",381,0.0866141732283465,0.031496062992126,0.131233595800525,0.45,0.751,"2"
"SAO PAULO","MIRASSOL","2716275","Urbano","1",639,0.0344287949921753,0.00156494522691706,0.136150234741784,0.43,0.762,"2"
"SAO PAULO","MOCOCA","2705222","Urbano","1",1013,0.0503455083909181,0.0404738400789733,0.0602171767028628,0.53,0.762,"2"
"SAO PAULO","MOGI DAS CRUZES","2080052","Urbano","1",5057,0.0440972908839233,0.112121811350603,0.15878979632193,0.54,0.783,"4"
"SAO PAULO","MOGI DAS CRUZES","2784874","Urbano","0",2397,0.0721735502711723,0.0500625782227785,0.0346266166040884,0.54,0.783,"1"
"SAO PAULO","MOGI GUACU","2081016","Urbano","0",448,0.142857142857143,0.0736607142857143,0.0870535714285714,0.44,0.774,"1"
"SAO PAULO","MOGI GUACU","2096463","Urbano","1",1609,0.0758234928527035,0.0876320696084524,0.0863890615288999,0.44,0.774,"1"
"SAO PAULO","MONTE ALTO","2028204","Urbano","1",355,0.0197183098591549,0.0450704225352113,0.0450704225352113,0.42,0.768,"2"
"SAO PAULO","MONTE ALTO","2096005","Urbano","0",81,0.0493827160493827,0.0740740740740741,0.0493827160493827,0.42,0.768,"2"
"SAO PAULO","MONTE AZUL PAULISTA","2053519","Urbano","1",174,0.114942528735632,0.0114942528735632,0.149425287356322,0.46,0.753,"2"
"SAO PAULO","MONTE MOR","2078341","Urbano","1",522,0.0229885057471264,0.0402298850574713,0.103448275862069,0.44,0.733,"2"
"SAO PAULO","NHANDEARA","2093502","Rural","1",203,0.00492610837438424,0.108374384236453,0.0197044334975369,0.49,0.751,"1"
"SAO PAULO","NOVA EUROPA","2747685","Inter.","1",93,0.021505376344086,0.043010752688172,0.0537634408602151,0.39,0.765,"2"
"SAO PAULO","NOVA ODESSA","2058308","Urbano","1",284,0.0176056338028169,0.0211267605633803,0.0915492957746479,0.41,0.791,"2"
"SAO PAULO","NOVO HORIZONTE","2088487","Urbano","1",388,0.00257731958762887,0.0128865979381443,0.0360824742268041,0.45,0.753,"2"
"SAO PAULO","OLIMPIA","2082845","Urbano","1",745,0.00939597315436242,0.0201342281879195,0.0738255033557047,0.43,0.773,"2"
"SAO PAULO","ORLANDIA","2745798","Urbano","1",545,0.0385321100917431,0.0972477064220184,0.036697247706422,0.5,0.78,"1"
"SAO PAULO","OSASCO","8036","Urbano","1",4305,0.0761904761904762,0.0727061556329849,0.291056910569106,0.53,0.776,"4"
"SAO PAULO","OSASCO","2079887","Urbano","0",2532,0.0339652448657188,0.0584518167456556,0.162322274881517,0.53,0.776,"4"
